main_category,sub_category,url
여행/지도,테마여행,https://book.naver.com/category/index.naver?cate_code=270030&tab=top100&list_type=list&sort_type=salecount
여행/지도,지도/지리,https://book.naver.com/category/index.naver?cate_code=270040&tab=top100&list_type=list&sort_type=salecount
국어/외국어,국어,https://book.naver.com/category/index.naver?cate_code=230010&tab=top100&list_type=list&sort_type=salecount
국어/외국어,영어,https://book.naver.com/category/index.naver?cate_code=230020&tab=top100&list_type=list&sort_type=salecount
국어/외국어,일본어,https://book.naver.com/category/index.naver?cate_code=230030&tab=top100&list_type=list&sort_type=salecount
국어/외국어,중국어,https://book.naver.com/category/index.naver?cate_code=230040&tab=top100&list_type=list&sort_type=salecount
국어/외국어,기타 외국어,https://book.naver.com/category/index.naver?cate_code=230050&tab=top100&list_type=list&sort_type=salecount
사전,국어사전,https://book.naver.com/category/index.naver?cate_code=240050&tab=top100&list_type=list&sort_type=salecount
사전,한자사전,https://book.naver.com/category/index.naver?cate_code=240040&tab=top100&list_type=list&sort_type=salecount
사전,한영/영한/영영사전,https://book.naver.com/category/index.naver?cate_code=240010&tab=top100&list_type=list&sort_type=salecount
사전,일한/한일사전,https://book.naver.com/category/index.naver?cate_code=240020&tab=top100&list_type=list&sort_type=salecount
사전,중한/한중사전,https://book.naver.com/category/index.naver?cate_code=240030&tab=top100&list_type=list&sort_type=salecount
사전,기타나라어사전,https://book.naver.com/category/index.naver?cate_code=240060&tab=top100&list_type=list&sort_type=salecount
사전,백과/전문사전,https://book.naver.com/category/index.naver?cate_code=240070&tab=top100&list_type=list&sort_type=salecount
컴퓨터/IT,웹/컴퓨터입문/활용,https://book.naver.com/category/index.naver?cate_code=280010&tab=top100&list_type=list&sort_type=salecount
컴퓨터/IT,IT 전문서,https://book.naver.com/category/index.naver?cate_code=280020&tab=top100&list_type=list&sort_type=salecount
컴퓨터/IT,그래픽/멀티미디어,https://book.naver.com/category/index.naver?cate_code=280030&tab=top100&list_type=list&sort_type=salecount
컴퓨터/IT,오피스활용도서,https://book.naver.com/category/index.naver?cate_code=280040&tab=top100&list_type=list&sort_type=salecount
컴퓨터/IT,컴퓨터수험서,https://book.naver.com/category/index.naver?cate_code=280050&tab=top100&list_type=list&sort_type=salecount
청소년,공부방법/진학가이드,https://book.naver.com/category/index.naver?cate_code=300020&tab=top100&list_type=list&sort_type=salecount
청소년,논술대비,https://book.naver.com/category/index.naver?cate_code=300010&tab=top100&list_type=list&sort_type=salecount
청소년,진로/진학가이드,https://book.naver.com/category/index.naver?cate_code=300030&tab=top100&list_type=list&sort_type=salecount
청소년,청소년 경제/자기계발,https://book.naver.com/category/index.naver?cate_code=300040&tab=top100&list_type=list&sort_type=salecount
